index,file_name,cat,split,link
0,006_gsv_00_jpg.rf.36be7fd85fcfee1d8d1fea13b103edc8.jpg,PVgsv,train,https://maps.googleapis.com/maps/api/streetview?key=API_KEY_HERE&location=47.2062153%2C10.1354988&heading=23.66&fov=24.4&pitch=11.75&return_error_code=true&size=640x640
1,016_gsv_00_jpg.rf.14e1682aaa9f7deb3aa5d7e39faa6170.jpg,PVgsv,train,https://maps.googleapis.com/maps/api/streetview?key=API_KEY_HERE&location=47.5689364%2C14.2365792&heading=334.24&fov=48.7&pitch=19.85&return_error_code=true&size=640x640
2,283_147503_135nopv_jpg.rf.fea8ee38e4092d194653135bb72748ff.jpg,noPVgsv,train,https://maps.googleapis.com/maps/api/streetview?key=API_KEY_HERE&location=47.37790761289017%2C8.50994313432293&heading=327.39455656571204&fov=120&pitch=40.62905329559089&radius=50&source=outdoor&return_error_code=true&size=1080x1080
3,32_jpg.rf.ba36860180941726699154d186dfe15c.jpg,noPVweb,train,
4,265_web_02_jpg.rf.a87e9fe1053def404b991bdb87bd50be.jpg,PVweb,train,https://assets.solarix.prod.verveagency.com/assets/projecten/baobab_kwekerij/installatie_proces/solarix_process_baobab_de-kwekerij_utrecht_dsc09150_lr_700px.jpg
5,8428_302065264_361nopv_jpg.rf.04bb7554ad5541ffae48a2a54f2953f9.jpg,noPVgsv,train,https://maps.googleapis.com/maps/api/streetview?key=API_KEY_HERE&location=47.40668827350253%2C8.535025271276165&heading=113.5304911956124&fov=120&pitch=23.11593953648857&radius=50&source=outdoor&return_error_code=true&size=1080x1080
6,386_web_02_jpg.rf.9ffde18505c754f423123cf135d25833.jpg,PVweb,train,https://www.mgt-esys.at/wp-content/uploads/2024/09/1717502782011-e1725962083475.jpg
7,351_web_04_jpg.rf.cd61a91d8927250c3d61062a074499d2.jpg,PVweb,train,https://www.sks-architekten.ch/wp-content/uploads/ueberbauung-soley-sks-architekten-bern-03.jpg
8,6444_302049192_322nopv_jpg.rf.8eece58a488d4a3cf5d6bb29760e4904.jpg,noPVgsv,train,https://maps.googleapis.com/maps/api/streetview?key=API_KEY_HERE&location=47.38353002047737%2C8.512785334751957&heading=258.10636682066905&fov=120&pitch=11.30484815307755&radius=50&source=outdoor&return_error_code=true&size=1080x1080
9,56_jpg.rf.f71ace57c8d83f1b16262910ef0aaba1.jpg,noPVweb,train,
10,2294_2373215_097nopv_jpg.rf.6bf1567f0ad73c872894cbc7e675aa5d.jpg,noPVgsv,train,
11,386_web_01_jpg.rf.e253a305ec1ceef2d23c7c4106110625.jpg,PVweb,train,https://www.mgt-esys.at/wp-content/uploads/2024/09/bielerhoehe_img-4053.jpg
12,116_gsv_00_jpg.rf.fd7fa499aa27f3a784fcec5f235ea84a.jpg,PVgsv,train,https://maps.googleapis.com/maps/api/streetview?key=API_KEY_HERE&location=52.0133641%2C5.0305618&heading=65.31&fov=48.7&pitch=8.83&return_error_code=true&size=640x640
13,2146_2366802_053nopv_jpg.rf.fc7ac91153e9b175b980aae927d0e652.jpg,noPVgsv,train,https://maps.googleapis.com/maps/api/streetview?key=API_KEY_HERE&location=47.36184184090405%2C8.534009286465581&heading=249.00161554434987&fov=120&pitch=35.20854466788068&radius=50&source=outdoor&return_error_code=true&size=1080x1080
14,004_web_00_jpg.rf.2fdbebfd01399a3bbb11dfb776113966.jpg,PVweb,train,https://www.bipv.ch/images/esempi/residenziale/GenbochHaus/Genboch_1.jpg
15,293_web_01_jpg.rf.d1705d1d42d7ba5045ae3398aa955c4c.jpg,PVweb,train,https://gfethers.com.au/wp-content/uploads/2021/12/200805_AVA_Campus_Aqua_1178-1-1200x800.jpg
16,8194_302064580_344nopv_jpg.rf.864965a493ffe9d2bf52d9436106264e.jpg,noPVgsv,train,https://maps.googleapis.com/maps/api/streetview?key=API_KEY_HERE&location=47.4034864458876%2C8.487737212214826&heading=187.00301333732133&fov=120&pitch=10.83760674105745&radius=50&source=outdoor&return_error_code=true&size=1080x1080
17,2207_2370368_073nopv_jpg.rf.257ff58729a1c5c1a6bb941d351fcae9.jpg,noPVgsv,train,https://maps.googleapis.com/maps/api/streetview?key=API_KEY_HERE&location=47.41626434932443%2C8.543661690400699&heading=6.2700252975970585&fov=120&pitch=-5.9757189797160635&radius=50&source=outdoor&return_error_code=true&size=1080x1080
18,008_web_01_jpg.rf.a03925dc38379e0b6bf58741aa2104b2.jpg,PVweb,train,https://integratedpv.eurac.edu/sites/default/files/styles/thumb-gallery/public/casi-studio/field_gallery/ZIG-ZA~1.JPG?itok=5jyHI8mX
